stnnbr,c2,c3,c4,bottle flag,geotrc_ID,c7,c8,lat,lon,bottom depth,CTD pressure,CTD temperature,c14,c15,practical_salinity,bottle salinity flag,c18,c19,oxygen,bottle oxygen flag,silicate,silicate flag,nitrate,nitrate flag,c26,c27,phosphate,phosphate flag,PO,NO,SiO,absolute_salinity,conservative_temp,potential_temp,sigma0,depth
4.0,8,11,11,2,12650,20180929,1405,54.6601,-155.1706,5716,1825.7,1.9396,34.5769,2,34.5766,2,54.4,3,56.82,2,168.97,2,42.32,2,0.0,2,2.93,2,510.97,466.4776,2591.3700000000003,34.766021710754295,1.818732163877026,1.8183683035852631,27.668104937811904,1801.4264055354636
4.0,8,7,7,2,12651,20180929,1405,54.6601,-155.1706,5716,2028.8,1.8368,34.5985,2,34.5989,2,67.1,2,67.56,2,171.31,2,41.63,2,0.0,2,2.88,2,513.96,470.5384,2637.21,34.78860956530283,1.7006509892993644,1.7003546120897712,27.695120220099625,2000.8730176150946
4.0,8,5,5,2,12652,20180929,1405,54.6601,-155.1706,5716,2284.8,1.7309999999999999,34.62,2,34.6209,2,80.4,3,83.23,2,170.72,2,40.7,2,0.0,2,2.8,2,517.23,477.206,2644.03,34.810755557837545,1.574747194633082,1.5745008862997443,27.72220104965254,2252.0025653690177
4.0,8,1,1,2,12653,20180929,1405,54.6601,-155.1706,5716,2540.4,1.6516,34.6357,2,34.6368,2,94.2,2,95.31,2,169.94,2,39.85,2,0.0,2,2.74,2,520.01,481.058,2644.41,34.8266793189755,1.4742057191815194,1.4739817877316561,27.74228778995507,2502.446500969821
5.0,3,19,19,2,12353,20180924,1120,53.6771,-153.7966,4691,124.4,4.1169,33.6416,2,33.6403,2,111.4,3,97.13,2,69.75,2,38.89,2,0.01,2,2.71,2,517.1800000000001,473.5852,1143.38,33.80723469624492,4.116964338671461,4.108368984502773,26.70078319530262,123.25588138554319
5.0,3,10,10,2,12356,20180924,1120,53.6771,-153.7966,4691,456.2,3.6594,34.167,2,34.1684,2,18.3,2,16.45,2,115.71,2,43.78,2,0.01,2,2.99,2,479.90000000000003,440.24039999999997,1752.1,34.347224151097414,3.631303288037169,3.6281772499610194,27.176517026131478,451.64216319736335
5.0,3,7,7,2,12357,20180924,1120,53.6771,-153.7966,4691,611.0,3.3742,34.2541,2,34.2559,2,16.0,2,15.94,2,127.61,2,43.79,2,0.0,2,2.99,2,479.39000000000004,439.8272,1930.0900000000001,34.43703316818392,3.3352575846460124,3.332936868630956,27.276223681567444,604.6704312615026
5.0,3,4,4,2,12358,20180924,1120,53.6771,-153.7966,4691,813.9,3.0541,34.3348,2,34.3366,2,17.7,2,16.99,2,138.93,2,43.77,2,0.01,2,2.98,2,478.89,440.6836,2100.94,34.52008258542596,3.001456095604484,2.999790124144299,27.37310608056191,805.0768605990461
5.0,9,34,34,2,12415,20180925,1727,53.6799,-153.8006,4691,1013.0,2.7594,34.4,2,34.4009,2,19.9,2,19.0,2,148.1,2,43.97,2,0.0,2,3.03,2,488.65,444.6296,2240.5,34.58619212349894,2.693685389825647,2.6924621108537914,27.453056419293034,1001.5418925812507
5.0,3,1,1,2,12359,20180924,1120,53.6771,-153.7966,4691,1015.3,2.7319999999999998,34.4055,2,34.407,2,20.3,2,19.67,2,149.27,2,43.71,2,0.01,2,2.96,2,478.47,442.7828,2258.7200000000003,34.59234015475742,2.6662866950011046,2.665101923094092,27.460331762365968,1003.8106208180155
5.0,9,31,31,2,12416,20180925,1727,53.6799,-153.8006,4691,1266.9,2.4388,34.4707,2,34.4717,2,28.0,2,29.11,2,157.37,2,43.78,2,0.0,2,3.0,2,494.11,452.9004,2389.6600000000003,34.658918948075275,2.3563897290988645,2.355581567758859,27.539687691017207,1251.8138054565434
5.0,9,28,28,2,12417,20180925,1727,53.6799,-153.8006,4691,1520.6,2.2065,34.5234,2,34.5238,2,38.0,2,39.5,2,163.51,2,43.15,2,0.0,2,3.0,2,504.5,457.19199999999995,2492.1499999999996,34.712309314099144,2.1067375153117744,2.106184771284507,27.602638761202115,1501.5905465608023
5.0,9,25,25,2,12418,20180925,1727,53.6799,-153.8006,4691,1776.3,2.0283,34.5617,2,34.5626,2,48.4,2,50.1,2,167.8,2,42.65,2,0.0,2,2.93,2,504.25000000000006,462.952,2567.1,34.7518199021887,1.9102583446529462,1.9098600331162938,27.649688561696394,1753.0372779520096
5.0,9,22,22,2,12419,20180925,1727,53.6799,-153.8006,4691,2031.9,1.8959,34.5909,2,34.5921,2,60.3,2,60.3,2,170.04,2,41.92,2,0.0,2,2.9,2,509.8,466.0856,2610.9,34.781703765683815,1.7585899172831385,1.758290255028586,27.685214942341418,2004.0879508795128
5.0,9,19,19,2,12420,20180925,1727,53.6799,-153.8006,4691,2540.9,1.6942,34.6306,2,34.6303,2,86.6,2,88.09,2,170.23,2,40.28,2,0.0,2,2.73,2,511.24,478.0004,2641.54,34.82009450123279,1.5159742838723067,1.515741859729307,27.733981903129916,2503.1511289987657
5.0,9,16,16,2,12421,20180925,1727,53.6799,-153.8006,4691,3052.2,1.5695,34.6549,2,34.655,2,111.4,3,113.39,2,167.2,2,38.61,2,0.0,2,2.62,2,519.49,487.1348,2621.39,34.84451733642157,1.3460477811213716,1.345829665941576,27.76575402435674,3003.3087488569204
5.0,9,13,13,2,12422,20180925,1727,53.6799,-153.8006,4691,3562.9,1.4993,34.6711,2,34.6711,2,132.3,2,131.04,2,164.96,2,37.4,2,0.0,2,2.52,2,521.64,493.072,2605.44,34.86029437321844,1.2264097973201833,1.2261853037499366,27.786782820252483,3501.73638786722
5.0,9,10,10,2,12423,20180925,1727,53.6799,-153.8006,4691,4228.3,1.504,34.6799,2,34.6797,2,143.7,2,142.63,2,163.39,2,36.64,2,0.0,2,2.48,2,527.03,497.3052,2593.48,34.868646115816304,1.1591600566360023,1.1589262703952403,27.79811432844599,4149.462127846898
5.0,9,7,7,2,12424,20180925,1727,53.6799,-153.8006,4691,4435.5,1.5135,34.6818,2,34.6813,2,145.3,2,144.06,2,163.1,2,36.54,2,0.0,2,2.46,2,525.36,497.7672,2590.56,34.87004650515692,1.1448076443674584,1.1445693492966784,27.80022027675068,4350.774853486484
5.0,9,4,4,2,12425,20180925,1727,53.6799,-153.8006,4691,4589.8,1.5052,34.6841,2,34.6843,2,148.4,2,149.05,2,158.71,2,36.16,2,0.0,2,2.45,2,528.8,499.07879999999994,2529.7000000000003,34.872826702598196,1.1188548188174132,1.118609689882887,27.80422004295474,4500.573531925239
5.0,9,1,1,2,12426,20180925,1727,53.6799,-153.8006,4691,4667.0,1.4921,34.6866,2,34.685,2,152.7,2,153.7,2,155.88,2,35.85,2,0.0,2,2.42,2,528.8,500.728,2491.8999999999996,34.873325728523746,1.0971248181286006,1.0968629184866303,27.80610097918293,4575.484055205201
6.0,5,17,17,2,12760,20181002,13,52.0003,-151.9997,5214,151.3,3.4824,33.5958,2,33.6095,2,127.1,3,111.79,2,71.6,2,38.41,2,0.01,2,2.74,2,536.49,483.5988,1185.79,33.77753303009649,3.4811671622439637,3.4727797202358293,26.739968508266884,149.92105732702163
6.0,3,19,19,2,12721,20181001,1627,52.0002,-152.0003,5214,152.5,3.5429,33.5439,2,33.5456,2,124.9,2,127.2,2,68.28,2,37.17,2,0.01,2,2.66,2,539.5,487.0056,1151.4,33.713369047446896,3.542172140783032,3.5331439252134005,26.683369121330088,151.10968281024032
6.0,3,15,15,2,12722,20181001,1627,52.0002,-152.0003,5214,251.4,3.5802,33.834,2,33.8341,2,53.4,2,48.47,2,89.46,2,43.29,2,0.01,2,3.07,2,524.3199999999999,467.5172,1390.37,34.0062174256396,3.5700381392913445,3.5637116686108548,26.912543194790715,249.0484286269259
6.0,5,14,14,2,12761,20181002,13,52.0003,-151.9997,5214,252.6,3.6437,33.8778,2,33.8785,2,42.2,2,36.12,2,92.2,2,44.1,2,0.0,2,3.11,2,518.17,463.008,1419.12,34.050863953664596,3.6329147384235845,3.626980771234775,26.941791358766295,250.2364758505146
6.0,5,11,11,2,12762,20181002,13,52.0003,-151.9997,5214,353.5,3.7343,34.0032,2,34.0064,2,24.0,2,22.32,2,102.73,2,44.41,2,0.0,2,3.14,2,509.02000000000004,452.20879999999994,1563.27,34.181784931555185,3.714994179515819,3.7102809151269827,27.03735084783898,350.10705494108623
6.0,3,11,11,2,12723,20181001,1627,52.0002,-152.0003,5214,355.7,3.7455,34.0114,2,34.0097,2,24.8,2,21.52,2,103.42,2,44.52,2,0.0,2,3.14,2,508.22,452.4736,1572.82,34.18514915494885,3.7259744677961906,3.7212911630390195,27.038927918619038,352.284072256291
6.0,3,9,9,2,12724,20181001,1627,52.0002,-152.0003,5214,444.1,3.6991,34.0943,2,34.095,2,23.0,2,21.51,2,111.42,2,44.12,2,0.0,2,3.12,2,505.11,448.59159999999997,1692.81,34.272568275212784,3.6725023248372506,3.668663966246624,27.113379086754094,439.74140952292237
6.0,3,5,5,2,12725,20181001,1627,52.0002,-152.0003,5214,555.3,3.5407,34.1805,2,34.1827,2,18.6,2,18.54,2,120.59,2,43.97,2,0.0,2,3.1,2,499.04,444.1696,1827.39,34.36229279963122,3.505764685708199,3.502775144625352,27.20068288535208,549.7029309629303
6.0,5,8,8,2,12763,20181002,13,52.0003,-151.9997,5214,557.4,3.5404,34.1814,2,34.1821,2,18.7,2,16.42,2,119.61,2,44.03,2,0.0,2,3.11,2,498.46999999999997,442.6304,1810.5700000000002,34.36171437422829,3.5053193787822585,3.502324416113058,27.20026791067812,551.7789738820878
6.0,5,5,5,2,12764,20181002,13,52.0003,-151.9997,5214,757.7,3.2011,34.2881,2,34.2898,2,20.5,2,19.85,2,133.08,2,43.85,2,0.0,2,3.13,2,505.0,444.31800000000004,2016.0500000000002,34.472086373145544,3.1520965481482768,3.15005255743604,27.32119297373879,749.6986720604754
6.0,3,1,1,2,12727,20181001,1627,52.0002,-152.0003,5214,1009.7,2.8475,34.3831,2,34.3842,2,19.9,2,21.81,2,146.74,2,43.96,2,0.0,2,3.13,2,506.96,447.3428,2222.9100000000003,34.56900387398827,2.7814592430910787,2.780130008124915,27.431684606542603,998.4361269324185
6.0,5,1,1,2,12765,20181002,13,52.0003,-151.9997,5214,1012.9,2.8667,34.3783,2,34.3801,2,20.1,2,19.91,2,144.98,2,43.95,2,0.0,2,3.1,2,500.41,445.34600000000006,2194.6099999999997,34.56490363080877,2.8002996475520647,2.7989436214364343,27.426759759658808,1001.5927785186252
